,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,accuracy,macro avg,weighted avg
precision,0.6764705882352942,0.7666666666666667,0.6428571428571429,0.6857142857142857,0.75,0.8181818181818182,0.9090909090909091,0.6363636363636364,0.5833333333333334,0.8125,0.5185185185185185,0.9565217391304348,0.7297297297297297,0.896551724137931,0.9615384615384616,0.9615384615384616,0.8148148148148148,0.8823529411764706,0.7419354838709677,0.7931034482758621,0.9259259259259259,0.6666666666666666,0.52,0.6666666666666666,0.5714285714285714,0.6451612903225806,0.45,0.8387096774193549,0.4,0.34615384615384615,0.55,0.5185185185185185,0.5555555555555556,0.75,1.0,0.8787878787878788,0.358974358974359,0.7857142857142857,0.23809523809523808,0.6666666666666666,0.78125,0.9032258064516129,0.28125,0.8064516129032258,0.7272727272727273,0.7428571428571429,0.7575757575757576,1.0,0.5161290322580645,0.7142857142857143,0.6785714285714286,1.0,0.8235294117647058,0.8333333333333334,0.90625,0.8333333333333334,0.9333333333333333,0.7428571428571429,0.4074074074074074,0.36363636363636365,0.7058823529411765,0.24,0.96,0.4230769230769231,0.5454545454545454,0.4634146341463415,0.7777777777777778,0.7777777777777778,0.75,0.9655172413793104,0.5217391304347826,0.4523809523809524,0.92,0.8235294117647058,0.9629629629629629,0.8518518518518519,0.896551724137931,0.8461538461538461,0.7586206896551724,0.8148148148148148,0.9333333333333333,0.7241379310344828,0.9666666666666667,0.6923076923076923,0.8571428571428571,0.8333333333333334,0.9565217391304348,1.0,0.8484848484848485,0.8888888888888888,0.75,0.8888888888888888,0.9032258064516129,0.8235294117647058,0.8461538461538461,0.7741935483870968,0.7407407407407407,0.8148148148148148,0.8620689655172413,0.9655172413793104,0.9375,0.4642857142857143,0.5517241379310345,0.6896551724137931,0.6086956521739131,0.9333333333333333,0.5172413793103449,0.782608695652174,0.9285714285714286,0.8787878787878788,0.6153846153846154,0.625,0.6470588235294118,0.9285714285714286,0.6363636363636364,0.5862068965517241,0.7368421052631579,0.5,0.53125,0.8214285714285714,0.7037037037037037,0.8846153846153846,0.6333333333333333,0.7666666666666667,0.7419354838709677,0.7741935483870968,0.5428571428571428,0.8461538461538461,0.6428571428571429,0.5428571428571428,0.5945945945945946,0.9333333333333333,0.96,0.9090909090909091,0.7,0.6842105263157895,0.5833333333333334,0.78125,0.7894736842105263,1.0,0.41935483870967744,0.5757575757575758,0.5454545454545454,0.34615384615384615,0.4722222222222222,0.3684210526315789,0.5142857142857142,0.8387096774193549,0.9230769230769231,0.8076923076923077,0.9,0.7333333333333333,0.5945945945945946,0.8,0.5588235294117647,0.8333333333333334,0.6363636363636364,0.8461538461538461,0.9375,0.9285714285714286,0.7777777777777778,0.7931034482758621,0.8285714285714286,0.896551724137931,0.8571428571428571,1.0,0.7,0.7931034482758621,1.0,0.8,0.7714285714285715,0.6923076923076923,0.6896551724137931,0.7916666666666666,0.6388888888888888,0.92,0.896551724137931,0.7142857142857143,0.5384615384615384,0.5714285714285714,0.92,0.8846153846153846,0.7714285714285715,0.7916666666666666,0.8333333333333334,0.78125,0.8421052631578947,0.9666666666666667,0.9333333333333333,1.0,0.896551724137931,0.8823529411764706,0.5853658536585366,0.8620689655172413,0.7567567567567568,0.7142857142857143,0.5806451612903226,0.75,0.75,0.8387096774193549,0.7380048325854333,0.743388242387939,0.7432074328240533
recall,0.7666666666666667,0.7666666666666667,0.6428571428571429,0.8,0.8571428571428571,0.8181818181818182,0.8695652173913043,0.7777777777777778,0.4827586206896552,0.8666666666666667,0.4666666666666667,0.8461538461538461,0.9,0.8666666666666667,0.8928571428571429,0.8928571428571429,0.8148148148148148,1.0,0.7931034482758621,0.7931034482758621,0.8333333333333334,0.6153846153846154,0.4482758620689655,0.9090909090909091,0.4,0.6666666666666666,0.3,0.896551724137931,0.4666666666666667,0.3,0.7333333333333333,0.6086956521739131,0.5172413793103449,0.8275862068965517,0.8333333333333334,0.9666666666666667,0.4827586206896552,0.7333333333333333,0.1724137931034483,0.6,0.8333333333333334,0.9333333333333333,0.3103448275862069,0.8333333333333334,0.5333333333333333,0.8666666666666667,0.8333333333333334,0.9,0.5333333333333333,0.8333333333333334,0.6333333333333333,0.9,0.9333333333333333,0.8333333333333334,0.9666666666666667,0.8333333333333334,0.9333333333333333,0.9285714285714286,0.36666666666666664,0.27586206896551724,0.8,0.2,0.8,0.36666666666666664,0.6,0.6333333333333333,0.7,0.9333333333333333,0.8,0.9333333333333333,0.4,0.6333333333333333,0.7666666666666667,0.9333333333333333,0.9629629629629629,0.7666666666666667,0.8666666666666667,0.7586206896551724,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.7,0.9666666666666667,0.782608695652174,1.0,0.6666666666666666,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.8,0.5,0.8,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8,0.6896551724137931,0.7333333333333333,0.8333333333333334,0.9333333333333333,0.75,0.43333333333333335,0.5333333333333333,0.6666666666666666,0.7368421052631579,0.9333333333333333,0.5,0.6,0.8666666666666667,0.9666666666666667,0.8,0.5,0.55,0.8666666666666667,0.7241379310344828,0.5666666666666667,0.4827586206896552,0.5,0.5862068965517241,0.7666666666666667,0.6333333333333333,0.7666666666666667,0.6333333333333333,0.7931034482758621,0.7931034482758621,0.8,0.6333333333333333,0.7333333333333333,0.6,0.6333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.7,0.8666666666666667,0.4666666666666667,0.8333333333333334,1.0,0.8333333333333334,0.4482758620689655,0.6333333333333333,0.4,0.3,0.5666666666666667,0.4666666666666667,0.6,0.8666666666666667,0.8275862068965517,0.7,0.8571428571428571,0.7333333333333333,0.7586206896551724,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.7241379310344828,0.7333333333333333,1.0,0.896551724137931,0.7,0.7666666666666667,0.9666666666666667,0.8666666666666667,0.8,0.8275862068965517,0.7,0.7931034482758621,0.896551724137931,0.8,0.9,0.6,0.6666666666666666,0.6333333333333333,0.7666666666666667,0.7666666666666667,0.8666666666666667,0.7692307692307693,0.4827586206896552,0.9333333333333333,0.7931034482758621,0.7666666666666667,0.9,0.6333333333333333,0.8333333333333334,0.8333333333333334,0.8,0.9666666666666667,0.9333333333333333,0.896551724137931,0.8666666666666667,1.0,0.8,0.8333333333333334,0.9333333333333333,0.5,0.6,0.8,0.9,0.8666666666666667,0.7380048325854333,0.7392757577430504,0.7380048325854333
f1-score,0.71875,0.7666666666666667,0.6428571428571429,0.7384615384615385,0.8,0.8181818181818182,0.8888888888888888,0.7,0.5283018867924528,0.8387096774193549,0.49122807017543857,0.8979591836734694,0.8059701492537313,0.8813559322033898,0.9259259259259259,0.9259259259259259,0.8148148148148148,0.9375,0.7666666666666667,0.7931034482758621,0.8771929824561403,0.64,0.48148148148148145,0.7692307692307693,0.47058823529411764,0.6557377049180327,0.36,0.8666666666666667,0.4307692307692308,0.32142857142857145,0.6285714285714286,0.56,0.5357142857142857,0.7868852459016393,0.9090909090909091,0.9206349206349206,0.4117647058823529,0.7586206896551724,0.2,0.631578947368421,0.8064516129032258,0.9180327868852459,0.29508196721311475,0.819672131147541,0.6153846153846154,0.8,0.7936507936507936,0.9473684210526315,0.5245901639344263,0.7692307692307693,0.6551724137931034,0.9473684210526315,0.875,0.8333333333333334,0.9354838709677419,0.8333333333333334,0.9333333333333333,0.8253968253968254,0.38596491228070173,0.3137254901960784,0.75,0.21818181818181817,0.8727272727272727,0.39285714285714285,0.5714285714285714,0.5352112676056338,0.7368421052631579,0.8484848484848485,0.7741935483870968,0.9491525423728814,0.4528301886792453,0.5277777777777778,0.8363636363636363,0.875,0.9629629629629629,0.8070175438596491,0.8813559322033898,0.8,0.7457627118644068,0.7719298245614035,0.9333333333333333,0.711864406779661,0.9666666666666667,0.7346938775510204,0.9230769230769231,0.7407407407407407,0.8301886792452831,0.9655172413793104,0.8888888888888888,0.8421052631578947,0.6,0.8421052631578947,0.9180327868852459,0.875,0.7857142857142857,0.7868852459016393,0.7142857142857143,0.7719298245614035,0.847457627118644,0.9491525423728814,0.8333333333333334,0.4482758620689655,0.5423728813559322,0.6779661016949152,0.6666666666666666,0.9333333333333333,0.5084745762711864,0.6792452830188679,0.896551724137931,0.9206349206349206,0.6956521739130435,0.5555555555555556,0.5945945945945946,0.896551724137931,0.6774193548387096,0.576271186440678,0.5833333333333334,0.5,0.5573770491803278,0.7931034482758621,0.6666666666666666,0.8214285714285714,0.6333333333333333,0.7796610169491526,0.7666666666666667,0.7868852459016393,0.5846153846153846,0.7857142857142857,0.6206896551724138,0.5846153846153846,0.6567164179104478,0.9333333333333333,0.8727272727272727,0.9523809523809523,0.7,0.7647058823529411,0.5185185185185185,0.8064516129032258,0.8823529411764706,0.9090909090909091,0.43333333333333335,0.6031746031746031,0.46153846153846156,0.32142857142857145,0.5151515151515151,0.4117647058823529,0.5538461538461539,0.8524590163934426,0.8727272727272727,0.75,0.8780487804878049,0.7333333333333333,0.6666666666666666,0.7272727272727273,0.59375,0.7407407407407407,0.6774193548387096,0.7857142857142857,0.967741935483871,0.9122807017543859,0.7368421052631579,0.7796610169491526,0.8923076923076924,0.8813559322033898,0.8275862068965517,0.9056603773584906,0.7,0.7931034482758621,0.9454545454545454,0.8,0.8307692307692308,0.6428571428571429,0.6779661016949152,0.7037037037037037,0.696969696969697,0.8363636363636363,0.8813559322033898,0.7407407407407407,0.509090909090909,0.7088607594936709,0.8518518518518519,0.8214285714285714,0.8307692307692308,0.7037037037037037,0.8333333333333334,0.8064516129032258,0.8205128205128205,0.9666666666666667,0.9333333333333333,0.9454545454545454,0.8813559322033898,0.9375,0.676056338028169,0.847457627118644,0.835820895522388,0.5882352941176471,0.5901639344262295,0.7741935483870968,0.8181818181818182,0.8524590163934426,0.7380048325854333,0.7374487863983944,0.7367193389905966
support,30.0,30.0,28.0,30.0,14.0,11.0,23.0,18.0,29.0,30.0,30.0,26.0,30.0,30.0,28.0,28.0,27.0,15.0,29.0,29.0,30.0,26.0,29.0,22.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,23.0,29.0,29.0,30.0,30.0,29.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,30.0,29.0,30.0,30.0,30.0,30.0,20.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,27.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,23.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,20.0,30.0,30.0,30.0,19.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,30.0,29.0,30.0,29.0,30.0,29.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,21.0,30.0,29.0,30.0,30.0,30.0,29.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,26.0,29.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,20.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.7380048325854333,5794.0,5794.0
